,Name,main_category,sub_category,Image,link,ratings,no_of_ratings,discount_price,actual_price
37,Dyazo Zigzag Height Adjustable Ventilated Aluminium Tabletop Laptop Stand with 6 Angles Multi-Angle Compatible for MacBook...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41A5OI3-NqL._AC_UL800_.jpg,https://www.amazon.in/Dyazo-Adjustable-Ventilated-Multi-Angle-Compatible/dp/B08VK11P24/ref=sr_1_5039?qid=1679133966&s=electronics&sr=1-5039,4.3,"1,639",₹599,"₹1,999"
38,TheGiftKart Tough Armor Back Cover Case for Samsung Galaxy A50s / A50 / A30s | Tough Armor Bumper | Ring Holder & Kickstan...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61ynVZ0N4fL._AC_UL800_.jpg,https://www.amazon.in/TheGiftKart-Samsung-Galaxy-Kickstand-Protection/dp/B0BB7P2CPL/ref=sr_1_5040?qid=1679133966&s=electronics&sr=1-5040,4.5,124,₹349,₹999
39,SiSAH 4 Channel 220V Wireless Remote Control Switch,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61kU8gYL9iL._AC_UL800_.jpg,https://www.amazon.in/SiSAH-Channel-Wireless-Remote-Control/dp/B09NBPVWM3/ref=sr_1_5041?qid=1679133966&s=electronics&sr=1-5041,4.2,288,₹599,"₹1,099"
40,Redragon Kumara K552 Rainbow LED Backlit TKL Ten Key-Less Mechanical Wired Gaming Keyboard Without Numlock Keys (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71cngLX2xuL._AC_UL800_.jpg,https://www.amazon.in/Redragon-KUMARA-Backlit-Mechanical-Keyboard/dp/B016MAK38U/ref=sr_1_5042?qid=1679133966&s=electronics&sr=1-5042,4.2,"30,710","₹2,299","₹3,490"
41,HP 103A Blk Neverstop Toner Reload Kit (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41I0wkO0ffS._AC_UL800_.jpg,https://www.amazon.in/103A-Blk-Neverstop-Toner-Reload/dp/B07W5NXGSW/ref=sr_1_5043?qid=1679133967&s=electronics&sr=1-5043,4,"1,612",,₹975
42,"Ant Esports KM500W Gaming Backlit Keyboard and Mouse Combo, LED Wired Gaming Keyboard, Ergonomic & Wrist Rest Keyboard, Pr...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61Un-u1cUSL._AC_UL800_.jpg,https://www.amazon.in/Ant-Esports-KM500W-Ergonomic-Programmable/dp/B081Q8PSKC/ref=sr_1_5044?qid=1679133967&s=electronics&sr=1-5044,4.2,"4,179","₹1,199","₹1,999"
43,"ESR HaloLock Universal MagSafe Ring 360, MagSafe Conversion Kit, MagSafe Sticker, Compatible with iPhone 14/14 Plus/14 Pr...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71KjHcNsfAL._AC_UL800_.jpg,https://www.amazon.in/ESR-HaloLock-Universal-Conversion-Compatible/dp/B09BZ17JM7/ref=sr_1_5045?qid=1679133967&s=electronics&sr=1-5045,4.2,"9,032",₹759,"₹1,599"
44,Tizum Double Padded TZ-HDD 2.5-inch External Hard Drive Case (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/813dUw--FPL._AC_UL800_.jpg,https://www.amazon.in/Double-Padded-TZ-HDD-2-5-inch-External/dp/B01L3Y0QBE/ref=sr_1_5046?qid=1679133967&s=electronics&sr=1-5046,4.5,"3,880",₹349,₹799
45,"Portronics Mport 7 Multiport 7-in-1 USB Hub with Convertible Heads, Compatible for Laptop, MacBook & Type-C Devices with T...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61IQwTHKYqL._AC_UL800_.jpg,https://www.amazon.in/Portronics-Multiport-Convertible-Compatible-Transfer/dp/B0BT7S5Y1C/ref=sr_1_5047?qid=1679133967&s=electronics&sr=1-5047,4.7,7,₹749,"₹1,299"
46,Robustrion Smart Flexible Trifold Flip Stand Case Cover with Pencil Holder for Apple iPad 10.2 inch 9th Gen 2021 Cover 8th...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/518V1ebg2eL._AC_UL800_.jpg,https://www.amazon.in/Robustrion-Flexible-Trifold-Pencil-Generation/dp/B08FZWK5X1/ref=sr_1_5048?qid=1679133967&s=electronics&sr=1-5048,4.3,"2,729",₹649,"₹2,499"
